pop_id	pop_description	location	pop_contact	start_yr	end_yr	total_years	total_nests	ad_morph_tot	ad_morph_uni	chick_morph_tot	chick_morph_uni	avg_latitude	avg_longitude	in_nestwatch	use_in_sensitivity	sub_pops	box_descriptions	notes	pop_coauthors	num_authors
tsp_011	UNBC	"Prince George, BC, Canada"	Russ Dawson	2001	2024	24	3409					53.811	-122.864		yes	yes	"Boxes are wooden, basically a Long Point design that are all the same dimensions, mounted on fence posts or t-bars at ~1.5m high, do not all face the same direction, generally in hay fields."	"Nest data has been added, they have morphology and was planning to work on prep to submit, but may need to follow up at some point"	Russ Dawson (Laura Grienesen?)	1
tsp_012	UC Davis	"Davis, CA"	Amanda Kindel	1999	2024	26	1329	395	395	9331	9331	38.520	-121.893		yes	yes	"We have about 200 wood nestboxes. Most of them are hanging by metal wire from trees. We have a few that are mounted on poles. Most of them face east, but not all of them. They are all roughly the same size/style. They are hung at variable heights (depending on tree branch availability) from 4 ft off the ground to 18 ft off the ground. Most of our boxes are hung along a creek in a riparian corridor. "	Added	Amanda Kindel; Melanie Truan; more coming from Kit Lauck??	2
tsp_013	Acadia University	"Hortonville, Port Williams"	Dave Shutler	2000	2024	25	1016	527	527	1116	1116	45.100	-64.400		yes	no	"Beginning in 2000, wooden boxes made of 1/2"" plywood were erected ~1.5 m above ground mounted on metal posts with hose clamps, and ~30 m apart, mostly within apple/pear orchards. Initially, I had ~190 boxes, but attrition (e.g., from being struck by orchard vehicles, rotting of plywood) gradually reduced that number to ~150. Directions of openings were initially south, but as grids evolved became random, although mostly pointing away from vegetation. Approx. equal numbers of smaller ""W"" boxes for swallows with 3.8-cm openings and 7000-cm3 volumes were interspersed with equal numbers of larger ""G"" boxes for starlings with 5.3-cm openings and 12,000-cm3 volumes, but failure to attract starlings and declining swallow occupancy led to me nailing pieces of wood that constrained G box openings to 3.8 cm, creating ""GW"" boxes. In 2015, ~ 50 new ""WN"" boxes using the Golondrinas design and 3/4"" plywood started to replace some of the deteriorating boxes."	Added	Dave Shutler	1
tsp_014	University of Wyoming	"Laramie, Wyoming"	Corey Tarwater	2017	2024	8	214	7	7	134	134	41.184	-105.720	yes	yes	no	"wood, mounted on fences, they face in different directions, they are one population all at Hutton National Wildlife Refuge, some are closer to the lakes than others, there has been variation in the amount of water in those lakes over time. There are 34 nest boxes."	Added	Corey Tarwater; Kimberley Jordan; Sam Case	3
tsp_015	Allegheny College	"Sandy Lake, PA"	Jenn Houtz	2024	2024	1	11	10	10	53	53	41.406	-80.122		no	yes	"Pine boxes mounted on t-posts; the majority are standard PA game commission boxes of similar dimensions and height in tall grass, all boxes are placed around Lake Wilhelm"	Added	Jenn Houtz	1
tsp_016	Westchester University	"Westchester, PA"	Jennifer Uehling	2024	2024	1	27	39	39	81	81	39.941	-75.620		no	no	"Our nest boxes are wood (pine), and are the same dimensions as the Ithaca nest boxes. They are all mounted on 6-foot t-posts. Most of them face north/east. We have nest boxes at two sites: WCU's South Campus and Stroud Preserve. At South Campus, the boxes are in open fields close to athletics facilities, apartment complexes, and woodlands. At Stroud Preserve, half of the boxes are along a path next to a river and an open field (these had much higher occupancy), and the other half are along a path next to an agricultural field on one side and woods on the other."	Added	Jennifer Uehling	1
tsp_017	Amherst	"Amherst, MA"	Ethan Clotfelter	2014	2024	11	835					42.363	-72.511		yes	no	"Wooden nest boxes with shingle roofs mounted to t-posts (some variance in height, range 5-7'). Boxes face different directions (orientation determined haphazardly). Within a year, boxes are standardized in dimension, but boxes were replaced during the study period so the dimensions may differ between years. All boxes located at a single site so the habitat is generally similar (grassy field) for all boxes, with some variation in proximity to water."	"Nest data has been added, waiting for morphology"	Ethan Clotfelter	1
tsp_018	Davidson	"Concord, NC & Refuge in SC"	Mark Stanback	2004	2024	21	3946	0	0	11847	11847	35.344	-80.796		yes	yes	"In earlier years, many of my nest boxes were wood. In recent years they have all been Schwegler 1B woodcrete boxes. All have stovepipe-style predator guards. They face different directions"		Mark Stanback	1
tsp_019	Alaska	"Fairbanks, AK"	Tricia Blake	2015	2024	10	704	1175	604	3106	3106	64.861	-146.108		yes	yes		Added	Tricia Blake; Julie Hagelin	2
tsp_020	British Columbia	"Saskatchewan, CA"	Lisha Berzins	1991	2024	34	4192	3403	2000	14794	14794	52.212	-106.090		yes	yes	"For McKenna nests: We used wood nest boxes, mounted on T-post (mostly) and only some mounted in fences. All boxes were mounted facing south. Boxes were all the same size, and were mounted in a gradient of agriculture in the agricultural landscapes of the Saskatchewan prairies. "	Added. Sites changed after 2019. Sup-pops from more distributed boxes from 2020-2024. Monitoring team changed at that time.	"Lisha Berzins; Bob Clark; Christy Morrissey; also more recent/different sites nearby from: Ann McKellar, Ana Bohorquez, Mercy Harris 2020-2024"	6
tsp_021	San Joaquin Wildlife Society	"San Joaquin, CA"	Christine Tischer	2000	2024	25	2950	280	280	4463	4463	33.662	-117.844		yes	no	"wood boxes, one entry hole, mounted on steel pipes at 4' average height above ground, facing in different directions, typically away from trails and facing toward the water"	Added. Most hatch dates are approximate.	Christine Tischer	1
tsp_022	Ithaca area	"Tompkins County, NY"	Conor Taff	1986	2024	39	9255	22533	10015	32507	23934	42.504	-76.452	yes	yes	yes		Added	"Conor Taff; Maren Vitousek, Ryan Shipley; Dan Ardia; Tom Ryan; David Chang van Oordt; David Winkler"	5
tsp_023	Comparative Wyoming	"Burgess Junction, WY"	Conor Taff	2018	2018	1	158	243	144	117	117	44.500	-107.300	maybe	no			Added	Cedric Zimmer (Scott Johson?)	2
tsp_024	McCarthy	"McCarthy, AK"	Alex Rose	2014	2021	8	289	494		883		61.433	-142.926	no	yes	yes		Added	Alex Rose; Cedric Zimmer	1
tsp_025	Chatanooga	"Chatanooga, TN"	David Aborn	2015	2024	10	453	238	238	216	216	35.084	-85.214	yes?	yes			Added; 10 years of nests but only one year of morphology (from when Cedric worked there).	David Aborn; Cedric Zimmer	1
tsp_026	Indiana University	Indiana?	Kimberly Rosvall	2015	2024	10	609					39.153	-86.430		yes	yes		Nest data added (never got total confirmation it was all nests); morph data was in prep but will need a reminder	Kimberly Rosvall	1
tsp_027	Long Point	"Ontario, CA"	Matt Fuirst	2013	2024	11	2468	0	0	0	0	42.618	-80.364		yes		"2-300 wood boxes on metal poles, facing different directions. Meadow, retired sewage lagoon, and at the extreme eastern Tip of Long Point (wetland, dune, lake habitat); 3 grids, 60-80 boxes each running and monitored for about 40+ years each at Long Point, Ontario. "	"I only added date and clutch size for 2013-2024 because the other data is hard to organize. 2009-2013 & 2023 have very incomplete date information, so unclear if egg dates match population and just excluded those years. 1977-2008 has lots of nests with clutch size/fledging, but no date information so not included. They could still be added for questions about fledging success only that don't depend on date. Note that in many cases the year column and the year listed with the date in the first_egg_date column do not match; I was told that the year column is correct in those cases."	"Ryan Norris, Stu Mackenzie, Matt Fuirst (David Hussell?)"	3 (or 4?)
tsp_028	Holden Arboretum	"Kirtland, OH"	Mike Watson	1966	2024	59	3777	0	0	0	0	41.610	-81.303	no?	yes	no		Added. No capture data.	Mike Watson	1
tsp_030	CSU Mountain campus	"Bellvue, CO"	Kyle Horton	2022	2023	2	78	80	80	215	215	40.569	-105.592		no	no		Added. Note adult mass measures seem too high??	Kyle Horton	1
